sample	medianCoverage	%Coverage>10x
213264	2925.61	99.66
213263	3599.4	99.66
213265	3611.27	99.66
213266	3386.92	99.66
213270	3046.69	98.99
213274	1884.75	98.32
213276	348.98	94.97
213275	2228.96	98.99
213279	3351.46	99.66
213280	1892.55	98.32
213278	3411.45	99.66
213284	2265.88	99.33
213281	3470.28	99.66
213285	3578.07	99.66
213282	2799.73	99.33
213289	1355.19	97.65
213286	3778.36	100
213291	1658.6	98.32
213315	1179.32	97.65
213311	1901.41	99.66
213317	490.11	94.97
213309	623.24	94.97
213318	660.6	94.3
213319	2608.06	98.99
213305	933.9	96.31
213321	943.08	98.32
213328	1405.13	96.31
213325	388.64	94.3
213336	1067.03	98.32
213343	1964.35	98.99
213339	391.16	93.64
213338	2661.06	99.66
213355	348.52	90.96
213353	760.28	98.32
213370	1386.18	97.65
213352	613.16	92.97
213341	2366.52	99.66
213391	1124.85	97.99
213366	2137.47	99.66
213392	1134.91	97.65
213382	432.19	93.64
213395	1016.4	94.3
213378	559.84	94.97
213467	374.28	94.3
213393	962.46	97.99
213529	501.68	96.98
213500	2491.38	98.99
213522	483.2	92.97
213422	224.05	90.96
213531	354.53	92.97
213537	357	90.96
213530	328.54	94.97
213538	173.58	90.96
213539	446.74	94.97
213549	533.8	96.98
213545	721.86	97.65
213548	308.78	92.3
213560	438.12	94.3
213540	414.82	93.64
213577	412.05	93.64
213583	572.65	92.97
213542	354.11	92.3
213579	320.03	88.95
213594	285.29	89.62
213628	978.5	96.98
213589	362.65	93.64
213629	3402.19	99.66
213630	405.45	92.64
213640	175.5	93.98
213639	3291.89	99.66
213641	3477.07	99.66
213643	2152.04	98.99
213645	687.05	96.98
213644	1224.8	97.65
213646	748.36	97.32
213648	1344.36	98.99
213647	2873.1	100
213656	700.1	94.97
213652	719.23	97.65
213657	354.78	94.3
213655	715.74	96.31
213664	3749.08	99.66
213658	1075.39	96.98
213660	580.19	93.64
213675	1661.43	98.99
213667	670.74	96.98
213661	2393.74	99.66
213696	389.37	92.3
213674	2816.78	98.99
213676	682.14	96.31
213699	2200.3	99.66
213688	1647.57	97.65
213682	1124.51	97.65
213698	590.53	96.98
213706	448.94	95.64
213711	261.68	91.63
213709	412.15	94.3
